,official gene symbol,cell type (general),cell type id (human),gene id
0,CEBPA,Adipocyte progenitor cells,Q101404942,Q17861031
1,CEBPA,Basophils,Q101405089,Q17861031
2,CEBPA,Hepatoblasts,Q101404910,Q17861031
3,CEBPA,Hepatocytes,Q101405101,Q17861031
4,CEBPA,Microglia,Q101404888,Q17861031
5,CEBPA,Pulmonary alveolar type II cells,Q101404950,Q17861031
6,CEBPA,Sebocytes,Q101405069,Q17861031
7,EGFR,Adipocyte progenitor cells,Q101404942,Q14865565
8,EGFR,Adipocytes,Q101405079,Q14865565
9,EGFR,Bergmann glia,Q101404920,Q14865565
10,EGFR,Gastric chief cells,Q101404916,Q14865565
11,EGFR,Germ cells,Q101404931,Q14865565
12,EGFR,Myoblasts,Q101404940,Q14865565
13,EGFR,Myoepithelial cells,Q101404924,Q14865565
14,EGFR,Neuroblasts,Q101405031,Q14865565
15,FGF10,Adipocyte progenitor cells,Q101404942,Q17927902
16,FGF10,Anterior pituitary gland cells,Q101405034,Q17927902
17,FGF10,Hepatic stellate cells,Q101404946,Q17927902
18,GSC,Adipocyte progenitor cells,Q101404942,Q18051386
19,MMP3,Adipocyte progenitor cells,Q101404942,Q13033724
20,MMP3,Fibroblasts,Q101404861,Q13033724
21,PPARG,Adipocyte progenitor cells,Q101404942,Q20970208
22,PPARG,Adipocytes,Q101405079,Q20970208
23,PPARG,Enterocytes,Q101405073,Q20970208
24,PPARG,Hepatic stellate cells,Q101404946,Q20970208
25,PPARG,Macrophages,Q101405081,Q20970208
26,PPARG,Megakaryocytes,Q101404874,Q20970208
27,PPARG,Melanocytes,Q101404894,Q20970208
28,PPARG,T helper cells,Q101404876,Q20970208
30,TWIST2,Adipocyte progenitor cells,Q101404942,Q18049301
31,TWIST2,Fibroblasts,Q101404861,Q18049301
32,GATA3,Adipocyte progenitor cells,Q101404942,Q18025464
33,GATA3,Hematopoietic stem cells,Q101405052,Q18025464
34,GATA3,Mesangial cells,Q101405121,Q18025464
35,GATA3,Natural killer T cells,Q101404895,Q18025464
36,GATA3,Nuocytes,Q101405037,Q18025464
37,GATA3,Principal cells,Q101404911,Q18025464
38,GATA3,T helper cells,Q101404876,Q18025464
40,GLI1,Adipocyte progenitor cells,Q101404942,Q14886430
41,GLI1,Pericytes,Q101405045,Q14886430
42,SMO,Adipocyte progenitor cells,Q101404942,Q18031607
43,SMO,Chondrocytes,Q101405092,Q18031607
44,STAB1,Adipocyte progenitor cells,Q101404942,Q18036959
45,STAB1,Endothelial cells,Q101404908,Q18036959
46,STAB1,Endothelial cells (aorta),Q101404926,Q18036959
47,STAB1,Macrophages,Q101405081,Q18036959
48,WISP2,Adipocyte progenitor cells,Q101404942,Q18033473
49,WISP2,Osteoblasts,Q101405044,Q18033473
50,WT1,Adipocyte progenitor cells,Q101404942,Q18032376
51,WT1,Cardiac stem and precursor cells,Q101405076,Q18032376
52,WT1,Hepatic stellate cells,Q101404946,Q18032376
53,WT1,Hepatocytes,Q101405101,Q18032376
54,WT1,Kidney progenitor cells,Q101405120,Q18032376
55,WT1,Mesothelial cells,Q101405100,Q18032376
56,WT1,Neuroblasts,Q101405031,Q18032376
57,WT1,Podocytes,Q101405039,Q18032376
58,WT1,Sertoli cells,Q101404909,Q18032376
59,WT1,Vascular smooth muscle cells,Q101404937,Q18032376
60,SCARA5,Adipocyte progenitor cells,Q101404942,Q18054717
61,SCARA5,Fibroblasts,Q101404861,Q18054717
62,HOXC8,Adipocyte progenitor cells,Q101404942,Q18027188
63,HOXC8,Neurons,Q101405104,Q18027188
64,TCF7L1,Adipocyte progenitor cells,Q101404942,Q18047147
65,TCF7L1,Mast cells,Q101404923,Q18047147
66,HOXC9,Adipocyte progenitor cells,Q101404942,Q18027191
67,HOXC9,Adipocytes,Q101405079,Q18027191
68,HOXC6,Adipocyte progenitor cells,Q101404942,Q18027185
69,HOXC4,Adipocyte progenitor cells,Q101404942,Q18027180
70,ZNF521,Adipocyte progenitor cells,Q101404942,Q18037800
71,SULT1E1,Adipocyte progenitor cells,Q101404942,Q18031757
72,SULT1E1,Leydig cells,Q101405116,Q18031757
73,SULT1E1,Mammary epithelial cells,Q101404863,Q18031757
74,EBF2,Adipocyte progenitor cells,Q101404942,Q18045699
75,EBF2,Adipocytes,Q101405079,Q18045699
76,EBF2,Olfactory epithelial cells,Q101405047,Q18045699
77,NRG4,Adipocyte progenitor cells,Q101404942,Q18051425
78,SLC36A2,Adipocytes,Q101405079,Q18052221
79,SLC36A2,Proximal tubule cells,Q101404885,Q18052221
80,P2RX5,Adipocytes,Q101405079,Q18030318
81,P2RX5,B cells memory,Q101405059,Q18030318
82,P2RX5,B cells naive,Q101405085,Q18030318
83,P2RX5,Osteoblasts,Q101405044,Q18030318
84,P2RX5,Plasma cells,Q101405123,Q18030318
85,LEP,Adipocytes,Q101405079,Q14851942
86,LEP,Gastric chief cells,Q101404916,Q14851942
87,LEP,Leydig cells,Q101405116,Q14851942
88,UCP1,Adipocytes,Q101405079,Q14860933
89,CIDEA,Adipocytes,Q101405079,Q17861991
90,CIDEA,Thymocytes,Q101405038,Q17861991
91,PRDM16,Adipocytes,Q101405079,Q18045527
92,LHX8,Adipocytes,Q101405079,Q18058298
93,EPSTI1,Adipocytes,Q101405079,Q18048824
94,EPSTI1,T memory cells,Q101405071,Q18048824
95,MC2R,Adipocytes,Q101405079,Q14909766
96,FFAR2,Adipocytes,Q101405079,Q18026432
97,FFAR2,Beta cells,Q101405087,Q18026432
98,FFAR2,Sebocytes,Q101405069,Q18026432
99,PIKFYVE,Adipocytes,Q101405079,Q18053181
100,CYP11B2,Adipocytes,Q101405079,Q14904983
101,TLR2,Adipocytes,Q101405079,Q14907436
102,TLR2,Alveolar macrophages,Q101405064,Q14907436
103,TLR2,Hematopoietic stem cells,Q101405052,Q14907436
104,TLR2,Langerhans cells,Q101405080,Q14907436
105,TLR2,Macrophages,Q101405081,Q14907436
106,TLR2,Müller cells,Q101405096,Q14907436
107,TLR2,Müller cells,Q101405097,Q14907436
108,TLR2,Neutrophils,Q101405102,Q14907436
109,TLR2,Stromal cells,Q101404941,Q14907436
110,TLR4,Adipocytes,Q101405079,Q14914098
111,TLR4,Basophils,Q101405089,Q14914098
112,TLR4,Kupffer cells,Q101405068,Q14914098
113,TLR4,Langerhans cells,Q101405080,Q14914098
114,TLR4,Macrophages,Q101405081,Q14914098
115,TLR4,Monocytes,Q101405036,Q14914098
116,TLR4,Osteoclast precursor cells,Q101405070,Q14914098
117,TLR4,Platelets,Q101404882,Q14914098
118,TLR4,Stromal cells,Q101404941,Q14914098
119,ADRB1,Adipocytes,Q101405079,Q14916359
120,ADRB1,Pinealocytes,Q101404890,Q14916359
121,ADRB2,Adipocytes,Q101405079,Q14916378
122,ADRB2,Microglia,Q101404888,Q14916378
123,ADRB2,Pyramidal cells,Q101404930,Q14916378
124,ADRB3,Adipocytes,Q101405079,Q17815528
125,FABP4,Adipocytes,Q101405079,Q14889263
126,FABP4,Cardiomyocytes,Q101405077,Q14889263
127,FABP4,Dendritic cells,Q101404869,Q14889263
128,FABP4,Endothelial cells,Q101404908,Q14889263
129,FABP4,Fibroblasts,Q101404861,Q14889263
130,FABP4,Loop of Henle cells,Q101405109,Q14889263
131,FABP4,Macrophages,Q101405081,Q14889263
132,FABP4,Paneth cells,Q101405040,Q14889263
133,FABP4,Pericytes,Q101405045,Q14889263
134,FABP4,Smooth muscle cells,Q101404901,Q14889263
135,TNFRSF9,Adipocytes,Q101405079,Q14913226
136,TNFRSF9,B cells,Q68620797,Q14913226
137,TNFRSF9,Trophoblast cells,Q101404927,Q14913226
138,TBX1,Adipocytes,Q101405079,Q18031845
139,TBX1,Endothelial cells,Q101404908,Q18031845
140,TMEM26,Adipocytes,Q101405079,Q18053360
141,TCF21,Adipocytes,Q101405079,Q18031879
142,TCF21,Fibroblasts,Q101404861,Q18031879
143,TCF21,Podocytes,Q101405039,Q18031879
144,TCF21,Satellite cells,Q101404953,Q18031879
145,TCF21,Smooth muscle cells,Q101404901,Q18031879
146,ADIPOQ,Adipocytes,Q101405079,Q14864060
147,ADIPOQ,Cardiomyocytes,Q101405077,Q14864060
148,ADIPOQ,Paneth cells,Q101405040,Q14864060
149,CFD,Adipocytes,Q101405079,Q17913951
150,CFD,Leydig cells,Q101405116,Q17913951
151,CFD,Mast cells,Q101404923,Q17913951
152,CFD,Paneth cells,Q101405040,Q17913951
153,ACVR1C,Adipocytes,Q101405079,Q14905095
154,SLC2A4,Adipocytes,Q101405079,Q14887306
155,SLC2A4,Oxyphil cells,Q101404925,Q14887306
156,SLC2A4,Podocytes,Q101405039,Q14887306
157,LPIN1,Adipocytes,Q101405079,Q18036968
158,PLIN1,Adipocytes,Q101405079,Q14897674
159,PLIN1,Hepatocytes,Q101405101,Q14897674
160,PCK1,Adipocytes,Q101405079,Q18030379
161,PCK1,Hepatocytes,Q101405101,Q18030379
162,PCK1,Proximal tubule cells,Q101404885,Q18030379
163,RETN,Adipocytes,Q101405079,Q14864068
164,MEST,Adipocytes,Q101405079,Q18029045
165,MEST,Anterior pituitary gland cells,Q101405034,Q18029045
166,MEST,Tanycytes,Q101405074,Q18029045
167,ADM2,Adipocytes,Q101405079,Q18046470
168,STAT6,Adipocytes,Q101405079,Q14914613
169,STAT6,T helper cells,Q101404876,Q14914613
171,TFE3,Adipocytes,Q101405079,Q18031962
172,CPPED1,Adipocytes,Q101405079,Q18041751
173,APPL2,Adipocytes,Q101405079,Q18041643
174,APPL2,Ciliated cells,Q101405066,Q18041643
175,APOL6,Adipocytes,Q101405079,Q18046812
176,PXMP2,Adipocytes,Q101405079,Q18030975
177,CAVIN1,Adipocytes,Q101405079,Q18054260
178,AGT,Adipocytes,Q101405079,Q14859647
179,AGT,Astrocytes,Q101405103,Q14859647
180,AGT,Astrocytes,Q67801129,Q14859647
186,SLC1A5,Adipocytes,Q101405079,Q18031524
187,SLC1A5,Neutrophils,Q101405102,Q18031524
188,ACSL1,Adipocytes,Q101405079,Q17927081
189,ACSL1,Epsilon cells,Q101404922,Q17927081
190,BCAT2,Adipocytes,Q101405079,Q17838571
191,PNPLA2,Adipocytes,Q101405079,Q18042889
192,PNPLA2,Oligodendrocytes,Q101404898,Q18042889
193,CIDEC,Adipocytes,Q101405079,Q18045501
194,CDO1,Adipocytes,Q101405079,Q17860664
195,CDO1,Enterocytes,Q101405073,Q17860664
196,CDO1,Oligodendrocyte progenitor cells,Q101404917,Q17860664
197,CDO1,Principal cells,Q101404911,Q17860664
198,APOC1,Adipocytes,Q101405079,Q14904550
199,MMP2,Adipocytes,Q101405079,Q15327913
200,MMP2,Fibroblasts,Q101404861,Q15327913
201,MMP2,Myocytes,Q101404903,Q15327913
202,MMP2,Stromal cells,Q101404941,Q15327913
203,POSTN,Adipocytes,Q101405079,Q18035545
204,POSTN,Endothelial cells,Q101404908,Q18035545
205,POSTN,Fibroblasts,Q101404861,Q18035545
206,POSTN,Osteoblasts,Q101405044,Q18035545
207,POSTN,Pericytes,Q101405045,Q18035545
208,LOX,Adipocytes,Q101405079,Q14907096
209,LOX,Cardiomyocytes,Q101405077,Q14907096
210,LOX,Endothelial cells,Q101404908,Q14907096
211,LOX,Endothelial cells (aorta),Q101404926,Q14907096
212,LOX,Erythroid-like and erythroid precursor cells,Q101404957,Q14907096
213,LOX,Fibroblasts,Q101404861,Q14907096
214,LOX,Granulosa cells,Q101404921,Q14907096
215,LOX,Mesothelial cells,Q101405100,Q14907096
216,LOX,Smooth muscle cells,Q101404901,Q14907096
217,COL6A2,Adipocytes,Q101405079,Q17908052
218,COL6A2,Fibroblasts,Q101404861,Q17908052
219,COL6A2,Pancreatic stellate cells,Q101404859,Q17908052
220,ZBTB16,Adipocytes,Q101405079,Q18032508
221,ZBTB16,Myoblasts,Q101404940,Q18032508
222,ZBTB16,Natural killer T cells,Q101404895,Q18032508
223,ZBTB16,NK cells,Q68620803,Q18032508
224,GULP1,Adipocytes,Q101405079,Q18040300
225,GULP1,Enterocytes,Q101405073,Q18040300
226,GULP1,Peri-islet Schwann cells,Q101404867,Q18040300
227,FZD4,Adipocytes,Q101405079,Q18032820
228,FZD4,Endothelial cells (aorta),Q101404926,Q18032820
229,TRIP10,Adipocytes,Q101405079,Q18034000
230,FGF7,Adipocytes,Q101405079,Q17927881
231,MAOB,Adipocytes,Q101405079,Q18028862
232,MAOB,Mast cells,Q101404923,Q18028862
233,SOCS1,Adipocytes,Q101405079,Q18033186
234,SOCS1,Mast cells,Q101404923,Q18033186
235,ARNT,Adipocytes,Q101405079,Q14905275
236,SULT1A1,Adipocytes,Q101405079,Q18031780
237,SULT1A1,Endothelial cells (aorta),Q101404926,Q18031780
238,SULT1A1,Hepatocytes,Q101405101,Q18031780
239,NNMT,Adipocytes,Q101405079,Q18252674
240,NNMT,Basal cells,Q101404853,Q18252674
241,NNMT,Fibroblasts,Q101404861,Q18252674
242,NNMT,Mammary epithelial cells,Q101404863,Q18252674
243,AOC3,Adipocytes,Q101405079,Q18033176
244,AOC3,Pericytes,Q101405045,Q18033176
245,AOC3,Smooth muscle cells,Q101404901,Q18033176
246,H6PD,Adipocytes,Q101405079,Q18034383
247,CYP27A1,Adipocytes,Q101405079,Q14905630
248,CYP27A1,Macrophages,Q101405081,Q14905630
